class_index,class_id,class_name,sample_count
0,9,009.Brewer_Blackbird,59
1,10,010.Red_winged_Blackbird,60
2,11,011.Rusty_Blackbird,60
3,12,012.Yellow_headed_Blackbird,56
4,14,014.Indigo_Bunting,60
5,15,015.Lazuli_Bunting,58
6,16,016.Painted_Bunting,58
7,17,017.Cardinal,57
8,19,019.Gray_Catbird,59
9,21,021.Eastern_Towhee,60
10,26,026.Bronzed_Cowbird,60
11,27,027.Shiny_Cowbird,60
12,28,028.Brown_Creeper,59
13,29,029.American_Crow,60
14,35,035.Purple_Finch,60
15,47,047.American_Goldfinch,60
16,48,048.European_Goldfinch,60
17,49,049.Boat_tailed_Grackle,60
18,54,054.Blue_Grosbeak,60
19,55,055.Evening_Grosbeak,60
20,56,056.Pine_Grosbeak,60
21,57,057.Rose_breasted_Grosbeak,60
22,67,067.Anna_Hummingbird,60
23,68,068.Ruby_throated_Hummingbird,60
24,69,069.Rufous_Hummingbird,60
25,73,073.Blue_Jay,60
26,74,074.Florida_Jay,60
27,75,075.Green_Jay,57
28,76,076.Dark_eyed_Junco,60
29,91,091.Mockingbird,60
30,94,094.White_breasted_Nuthatch,60
31,95,095.Baltimore_Oriole,60
32,96,096.Hooded_Oriole,60
33,97,097.Orchard_Oriole,59
34,116,116.Chipping_Sparrow,60
35,118,118.House_Sparrow,60
36,120,120.Fox_Sparrow,60
37,129,129.Song_Sparrow,60
38,130,130.Tree_Sparrow,60
39,132,132.White_crowned_Sparrow,60
40,133,133.White_throated_Sparrow,60
41,148,148.Green_tailed_Towhee,60
42,171,171.Myrtle_Warbler,60
43,175,175.Pine_Warbler,60
44,189,189.Red_bellied_Woodpecker,60
45,191,191.Red_headed_Woodpecker,60
46,192,192.Downy_Woodpecker,60
47,193,193.Bewick_Wren,60
48,195,195.Carolina_Wren,60
49,196,196.House_Wren,59
50,200,200.Common_Yellowthroat,60
